StationId,StationName,City,State,geometry
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,"POLYGON ((77.61240100000001 12.916559, 77.61523099999999 12.916466, 77.61777600000001 12.916344, 77.61966 12.916384, 77.62083 12.916719, 77.622182 12.917106, 77.62253200000001 12.917206, 77.622416 12.916727, 77.622328 12.916496, 77.62223899999999 12.916149, 77.62224000000001 12.915658, 77.62224000000001 12.91508, 77.622271 12.914733, 77.622241 12.914415, 77.622004 12.914386, 77.62132099999999 12.91401, 77.621219 12.913944, 77.621379 12.913569, 77.62153000000001 12.913404, 77.621589 12.913202, 77.621471 12.912913, 77.62139500000001 12.912887, 77.62136700000001 12.912799, 77.620816 12.912621, 77.62020200000001 12.912543, 77.619581 12.912533, 77.618966 12.91287, 77.618527 12.913181, 77.618048 12.913702, 77.618025 12.91372, 77.61777499999999 12.913986, 77.61713399999999 12.914513, 77.617073 12.914565, 77.616703 12.9149, 77.616604 12.915093, 77.616604 12.915269, 77.616469 12.915392, 77.616339 12.91519, 77.6163 12.915014, 77.616276 12.915017, 77.616202 12.914212, 77.615966 12.912565, 77.615759 12.911727, 77.61543500000001 12.91008, 77.61487200000001 12.90875, 77.614279 12.907912, 77.614132 12.907363, 77.61395400000001 12.907016, 77.613479 12.90664, 77.613094 12.905888, 77.612768 12.904964, 77.611135 12.90502, 77.609471 12.905395, 77.60945700000001 12.905436, 77.608445 12.905837, 77.605857 12.905626, 77.603843 12.905811, 77.603835 12.905989, 77.603954 12.907303, 77.603996 12.908694, 77.602715 12.908601, 77.601738 12.908517, 77.600347 12.90843, 77.600134 12.910653, 77.60012999999999 12.910913, 77.60004600000001 12.913393, 77.600041 12.916716, 77.603042 12.916749, 77.606123 12.916632, 77.606224 12.916631, 77.607377 12.916692, 77.609268 12.916607, 77.61009 12.9166, 77.61128600000001 12.916579, 77.61240100000001 12.916559))"
KA003,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,"POLYGON ((77.673028 12.948119, 77.675251 12.948678, 77.678321 12.948228, 77.679704 12.948217, 77.680212 12.948257, 77.680645 12.948559, 77.684398 12.948771, 77.687917 12.949032, 77.68907799999999 12.949195, 77.689521 12.95016, 77.689482 12.952534, 77.689167 12.953377, 77.689369 12.954325, 77.689521 12.954842, 77.689488 12.955467, 77.691754 12.955871, 77.691495 12.957056, 77.69138700000001 12.957592, 77.691489 12.957088, 77.693466 12.957246, 77.69413299999999 12.957336, 77.69410999999999 12.958028, 77.69413299999999 12.958564, 77.694363 12.958832, 77.69470800000001 12.959078, 77.69519099999999 12.959168, 77.695881 12.959213, 77.69618 12.959303, 77.69627199999999 12.959593, 77.696111 12.959928, 77.69595 12.960017, 77.69520199999999 12.960105, 77.69520199999999 12.961265, 77.69363800000001 12.96095, 77.6935 12.961173, 77.69420100000001 12.961531, 77.69386799999999 12.963206, 77.691754 12.963913, 77.692937 12.966443, 77.693355 12.968109, 77.696427 12.96734, 77.701629 12.968051, 77.702015 12.967221, 77.702141 12.966223, 77.701899 12.963856, 77.701596 12.962168, 77.701412 12.960517, 77.701458 12.960026, 77.701627 12.959462, 77.702787 12.959816, 77.703334 12.959941, 77.70397199999999 12.960046, 77.704228 12.960378, 77.704374 12.959444, 77.70456299999999 12.958226, 77.70438799999999 12.958165, 77.70103 12.958115, 77.700754 12.957624, 77.700018 12.955079, 77.69942 12.95191, 77.69854599999999 12.948472, 77.697902 12.946374, 77.695234 12.946771, 77.69482000000001 12.946681, 77.69325600000001 12.945652, 77.68976000000001 12.943192, 77.688518 12.942744, 77.687966 12.943412, 77.68732300000001 12.943411, 77.686173 12.943141, 77.685391 12.942872, 77.683919 12.943852, 77.682631 12.944385, 77.681251 12.945141, 77.680561 12.945185, 77.680285 12.94563, 77.676513 12.946606, 77.674949 12.947183, 77.67315499999999 12.947849, 77.673028 12.948119))"
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"POLYGON ((77.544579 12.964325, 77.544229 12.963585, 77.544319 12.963464, 77.544453 12.963285, 77.544635 12.963041, 77.544766 12.963243, 77.545063 12.963153, 77.545332 12.96307, 77.54564000000001 12.96299, 77.545879 12.962932, 77.545733 12.962738, 77.545687 12.962439, 77.545552 12.962277, 77.545299 12.962133, 77.545472 12.961883, 77.545571 12.961719, 77.545748 12.961408, 77.54609600000001 12.96081, 77.546409 12.960277, 77.546657 12.959826, 77.54712600000001 12.95896, 77.54723799999999 12.958734, 77.547437 12.958381, 77.548389 12.956657, 77.54777199999999 12.956545, 77.54715400000001 12.956422, 77.54683199999999 12.956334, 77.546443 12.956169, 77.546271 12.956076, 77.545976 12.955924, 77.545672 12.955741, 77.54524499999999 12.955458, 77.544586 12.954917, 77.544102 12.954467, 77.543896 12.95428, 77.543407 12.953968, 77.54324200000001 12.953884, 77.542827 12.953736, 77.54252200000001 12.953676, 77.542303 12.953592, 77.54208300000001 12.953471, 77.541631 12.953004, 77.54104 12.953213, 77.54087699999999 12.953248, 77.540761 12.953293, 77.54075 12.953187, 77.540139 12.953283, 77.539828 12.953338, 77.53940799999999 12.95341, 77.538816 12.953504, 77.538838 12.95377, 77.53885699999999 12.954125, 77.538899 12.954434, 77.538918 12.954731, 77.539068 12.956227, 77.53909 12.956491, 77.539112 12.956764, 77.53914399999999 12.956993, 77.539192 12.957275, 77.539216 12.957558, 77.539287 12.957828, 77.539261 12.957915, 77.539615 12.958318, 77.540511 12.959346, 77.542784 12.96256, 77.54370299999999 12.963818, 77.54380500000001 12.963929, 77.54416000000001 12.964158, 77.544579 12.964325))"
KA005,"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,"POLYGON ((77.56779400000001 12.993421, 77.568269 12.993405, 77.568786 12.993386, 77.56829999999999 12.994101, 77.566761 12.996188, 77.566332 12.996748, 77.56659000000001 12.996847, 77.566773 12.996877, 77.56830100000001 12.996832, 77.56885800000001 12.995508, 77.569598 12.993259, 77.57139599999999 12.993413, 77.57162700000001 12.991426, 77.571665 12.990604, 77.57195299999999 12.989557, 77.572194 12.988374, 77.572225 12.987624, 77.572255 12.986892, 77.57209400000001 12.985119, 77.57186799999999 12.984489, 77.57172199999999 12.98399, 77.570589 12.982105, 77.57046099999999 12.98206, 77.570086 12.981327, 77.570758 12.980388, 77.57093 12.979967, 77.570819 12.978273, 77.570781 12.977354, 77.57090599999999 12.976102, 77.570886 12.97585, 77.570494 12.974712, 77.569857 12.97462, 77.56976899999999 12.97456, 77.56972500000001 12.974492, 77.569146 12.973162, 77.568628 12.971782, 77.56836300000001 12.971023, 77.568111 12.969937, 77.568089 12.969564, 77.568094 12.969248, 77.568074 12.968802, 77.567609 12.968824, 77.567441 12.968923, 77.567251 12.969186, 77.567052 12.969625, 77.567041 12.969707, 77.56710699999999 12.970071, 77.567097 12.9702, 77.566767 12.970396, 77.566577 12.970598, 77.566626 12.970708, 77.56656 12.970806, 77.566903 12.971356, 77.566917 12.971546, 77.56621800000001 12.974026, 77.565838 12.974787, 77.564477 12.975796, 77.56460800000001 12.976589, 77.56472100000001 12.976982, 77.564879 12.977848, 77.56472100000001 12.978419, 77.56442 12.979278, 77.56425299999999 12.980112, 77.56441700000001 12.981708, 77.56473 12.982226, 77.565918 12.982014, 77.56667299999999 12.981991, 77.568145 12.982453, 77.568113 12.983096, 77.567879 12.988746, 77.567821 12.991469, 77.56777099999999 12.993072, 77.56779400000001 12.993421))"
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,"POLYGON ((77.586254 13.028653, 77.586433 13.02903, 77.587298 13.030776, 77.587963 13.032037, 77.588329 13.033169, 77.588728 13.034656, 77.58916000000001 13.035561, 77.58920999999999 13.0363, 77.589243 13.03638, 77.589326 13.038018, 77.58939599999999 13.038645, 77.589448 13.038645, 77.590417 13.038639, 77.591238 13.038623, 77.592499 13.038518, 77.59368600000001 13.038707, 77.594447 13.038789, 77.59447299999999 13.038524, 77.59477800000001 13.038631, 77.595189 13.038604, 77.596188 13.038443, 77.596197 13.038726, 77.596339 13.038692, 77.596616 13.037978, 77.59676399999999 13.037453, 77.59688199999999 13.037176, 77.597183 13.037027, 77.59737699999999 13.036938, 77.59746800000001 13.03667, 77.597295 13.036296, 77.59704499999999 13.035755, 77.59728 13.035681, 77.59784399999999 13.035542, 77.598259 13.035464, 77.598809 13.035319, 77.59951599999999 13.03516, 77.600448 13.035002, 77.601071 13.034999, 77.601401 13.035028, 77.601848 13.035077, 77.602259 13.035048, 77.602188 13.034276, 77.60190799999999 13.033355, 77.601524 13.033369, 77.601519 13.032581, 77.600365 13.032675, 77.59941499999999 13.032691, 77.598782 13.03269, 77.598266 13.032367, 77.597534 13.03193, 77.59703399999999 13.03193, 77.596334 13.031945, 77.59575100000001 13.031638, 77.595518 13.031347, 77.59556600000001 13.030778, 77.595586 13.02986, 77.596069 13.029925, 77.59607800000001 13.029793, 77.596014 13.029241, 77.595929 13.029009, 77.595806 13.028318, 77.595704 13.027805, 77.595354 13.027937, 77.595433 13.028357, 77.594702 13.028491, 77.594162 13.028547, 77.593571 13.028482, 77.592598 13.028676, 77.59187900000001 13.028794, 77.591773 13.028286, 77.59164699999999 13.027746, 77.59154100000001 13.027267, 77.590648 13.027229, 77.590574 13.027605, 77.590441 13.028094, 77.59025800000001 13.028407, 77.590699 13.028835, 77.59086000000001 13.029142, 77.59045 13.029194, 77.590144 13.028856, 77.59001499999999 13.028771, 77.58960999999999 13.028517, 77.589184 13.028358, 77.58864199999999 13.028188, 77.58824799999999 13.028174, 77.58658800000001 13.028015, 77.58654799999999 13.028451, 77.586302 13.028554, 77.586254 13.028653))"
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"POLYGON ((77.593067 12.958082, 77.59271200000001 12.957066, 77.59230700000001 12.956098, 77.596678 12.95272, 77.59891399999999 12.951065, 77.600436 12.951266, 77.60232499999999 12.95178, 77.603336 12.952038, 77.603391 12.951866, 77.604083 12.951921, 77.603655 12.951161, 77.603161 12.950184, 77.602829 12.948733, 77.602386 12.947589, 77.602424 12.946912, 77.602495 12.946058, 77.602805 12.944401, 77.602856 12.94357, 77.60270800000001 12.942157, 77.60052399999999 12.942536, 77.598555 12.942872, 77.597311 12.943206, 77.596923 12.944949, 77.596771 12.94515, 77.59655600000001 12.945348, 77.59641999999999 12.945438, 77.595579 12.945979, 77.594617 12.946855, 77.59438900000001 12.947135, 77.593887 12.948075, 77.593509 12.948835, 77.593502 12.94885, 77.592889 12.950049, 77.592128 12.950776, 77.591629 12.951166, 77.59083 12.951466, 77.590619 12.951813, 77.59056200000001 12.951762, 77.59028000000001 12.951607, 77.58933 12.951968, 77.586855 12.952864, 77.58586699999999 12.953762, 77.585477 12.954219, 77.585713 12.955496, 77.58600300000001 12.956858, 77.58655299999999 12.958662, 77.586831 12.959161, 77.587137 12.959537, 77.589387 12.959018, 77.591458 12.958524, 77.592062 12.958363, 77.592429 12.958262, 77.59297100000001 12.958111, 77.593067 12.958082))"
KA008,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,"POLYGON ((77.58029399999999 12.923469, 77.58029399999999 12.923431, 77.58177999999999 12.923419, 77.58369999999999 12.923395, 77.58473499999999 12.923379, 77.585627 12.923337, 77.585877 12.923361, 77.585894 12.923077, 77.58578300000001 12.91724, 77.585904 12.917236, 77.585905 12.91709, 77.585903 12.916954, 77.585849 12.916062, 77.58584399999999 12.915199, 77.585797 12.915102, 77.585723 12.913114, 77.585714 12.911585, 77.585684 12.910622, 77.58568200000001 12.910531, 77.584391 12.910556, 77.58259099999999 12.910597, 77.582217 12.910594, 77.582055 12.910609, 77.582025 12.91061, 77.581778 12.910619, 77.580034 12.910797, 77.579797 12.910823, 77.57891600000001 12.910906, 77.578485 12.910921, 77.577393 12.910962, 77.57543200000001 12.911129, 77.57396199999999 12.911323, 77.572902 12.911425, 77.57295000000001 12.911977, 77.572986 12.912259, 77.573021 12.912444, 77.57304600000001 12.912539, 77.573419 12.913829, 77.57369199999999 12.915337, 77.57373699999999 12.915804, 77.57372100000001 12.916291, 77.573609 12.916951, 77.573595 12.917716, 77.573593 12.917913, 77.57372599999999 12.918277, 77.574072 12.919156, 77.574245 12.919645, 77.574326 12.920042, 77.574364 12.920192, 77.57445 12.92064, 77.574423 12.920674, 77.573947 12.920847, 77.573769 12.921165, 77.573885 12.923274, 77.57608 12.923244, 77.576093 12.923259, 77.57630899999999 12.923501, 77.576534 12.923479, 77.576725 12.923524, 77.57799300000001 12.923469, 77.579691 12.923446, 77.579748 12.923476, 77.58029399999999 12.923469))"
KA009,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,"POLYGON ((77.49476799999999 13.022854, 77.495046 13.02355, 77.495206 13.024594, 77.495564 13.025561, 77.49584299999999 13.026605, 77.496151 13.027611, 77.496278 13.028211, 77.49664199999999 13.028386, 77.497342 13.028787, 77.498012 13.02907, 77.500516 13.029973, 77.50368 13.031562, 77.504059 13.031516, 77.505674 13.03123, 77.507029 13.030771, 77.507684 13.030538, 77.508297 13.030384, 77.510222 13.029968, 77.510139 13.029355, 77.510248 13.029962, 77.510222 13.029968, 77.510496 13.031984, 77.512872 13.031469, 77.51537 13.030821, 77.514593 13.026444, 77.517415 13.027588, 77.519687 13.028462, 77.520231 13.027112, 77.520741 13.025825, 77.521213 13.024535, 77.521428 13.024042, 77.521545 13.023854, 77.521716 13.023672, 77.521907 13.023534, 77.522054 13.023434, 77.52243900000001 13.023208, 77.52342 13.022632, 77.52354699999999 13.02259, 77.523774 13.022487, 77.52490299999999 13.022128, 77.526777 13.021481, 77.525344 13.020522, 77.52421099999999 13.019808, 77.52317499999999 13.019142, 77.52296800000001 13.019054, 77.522746 13.018895, 77.522516 13.018676, 77.52227999999999 13.018452, 77.522155 13.018333, 77.52195500000001 13.018355, 77.521995 13.017439, 77.522066 13.016485, 77.52216 13.015971, 77.522277 13.015414, 77.522403 13.014786, 77.522794 13.013661, 77.522991 13.012725, 77.522746 13.012368, 77.521749 13.012382, 77.52046799999999 13.012474, 77.51989399999999 13.012583, 77.519272 13.012693, 77.51854899999999 13.01272, 77.51742400000001 13.01288, 77.51642200000001 13.013044, 77.516425 13.013148, 77.51493600000001 13.013709, 77.514487 13.015288, 77.513931 13.015142, 77.51342099999999 13.015349, 77.511422 13.016224, 77.510963 13.015287, 77.51073 13.014812, 77.510481 13.014303, 77.51038 13.014183, 77.51019700000001 13.013922, 77.509259 13.012619, 77.508931 13.012214, 77.50877199999999 13.011998, 77.508439 13.011659, 77.50736000000001 13.01116, 77.506908 13.010952, 77.50652100000001 13.010347, 77.50620000000001 13.009946, 77.50537799999999 13.009855, 77.504096 13.009706, 77.503597 13.009675, 77.502411 13.009555, 77.50224799999999 13.008504, 77.501988 13.007297, 77.50169099999999 13.007413, 77.50122500000001 13.007586, 77.50098699999999 13.007735, 77.50079700000001 13.007942, 77.500523 13.008114, 77.50006399999999 13.008305, 77.49917600000001 13.008587, 77.498378 13.009071, 77.49758300000001 13.009245, 77.497298 13.00934, 77.49740199999999 13.00976, 77.497263 13.013065, 77.49722 13.013862, 77.497304 13.013861, 77.497685 13.015598, 77.497871 13.016484, 77.49753699999999 13.017666, 77.49577600000001 13.017991, 77.495586 13.018153, 77.495606 13.018328, 77.495429 13.019025, 77.495054 13.019417, 77.49448099999999 13.019834, 77.493594 13.020559, 77.49348000000001 13.020753, 77.493509 13.021171, 77.49376700000001 13.021366, 77.494131 13.021849, 77.49476799999999 13.022854))"
KA010,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,"POLYGON ((77.537486 12.987944, 77.537879 12.989663, 77.538072 12.990581, 77.538421 12.991567, 77.539085 12.993285, 77.539833 12.995288, 77.540364 12.996881, 77.540661 12.996885, 77.541208 12.997368, 77.542849 12.996381, 77.54278600000001 12.99554, 77.54428 12.99523, 77.545903 12.994795, 77.54572 12.99418, 77.54576400000001 12.993375, 77.54599399999999 12.991899, 77.54602800000001 12.991135, 77.545738 12.99, 77.54556599999999 12.988665, 77.545365 12.986444, 77.545278 12.985707, 77.54518 12.985028, 77.543604 12.985328, 77.542418 12.985698, 77.542175 12.985768, 77.54196899999999 12.985857, 77.53986999999999 12.986933, 77.538814 12.987473, 77.538065 12.987846, 77.537936 12.987879, 77.537486 12.987944))"
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,"POLYGON ((77.63316399999999 12.900879, 77.63306799999999 12.900924, 77.632997 12.900934, 77.632865 12.900912, 77.63275400000001 12.90082, 77.633261 12.900005, 77.633899 12.898948, 77.634727 12.897603, 77.635266 12.896723, 77.63541499999999 12.896483, 77.635959 12.895597, 77.636044 12.895446, 77.636168 12.895248, 77.636047 12.895198, 77.635976 12.895176, 77.635587 12.895099, 77.63534799999999 12.895055, 77.635013 12.894972, 77.634773 12.894898, 77.63448200000001 12.894833, 77.63414299999999 12.894898, 77.63391900000001 12.894976, 77.633245 12.893644, 77.632955 12.893745, 77.632768 12.893802, 77.63255100000001 12.89378, 77.632446 12.893776, 77.632154 12.893705, 77.631749 12.893706, 77.63144200000001 12.893761, 77.63121700000001 12.893809, 77.630872 12.893884, 77.630725 12.893218, 77.63076599999999 12.893018, 77.63072200000001 12.89272, 77.630658 12.892581, 77.63056 12.89168, 77.630933 12.89099, 77.631055 12.890707, 77.630555 12.890536, 77.63007 12.890418, 77.63031599999999 12.889939, 77.63014200000001 12.889863, 77.629823 12.889721, 77.630055 12.8893, 77.62936500000001 12.88899, 77.629345 12.888943, 77.629345 12.888909, 77.629346 12.888858, 77.629327 12.888836, 77.62931 12.888824, 77.628986 12.888786, 77.62878499999999 12.888805, 77.628755 12.888815, 77.62873 12.888834, 77.628708 12.888874, 77.628681 12.888945, 77.62866 12.889051, 77.62863400000001 12.889184, 77.62826800000001 12.889061, 77.62768199999999 12.888884, 77.62733900000001 12.888792, 77.627073 12.888794, 77.626886 12.888831, 77.626154 12.888941, 77.62564399999999 12.888999, 77.625586 12.888536, 77.625108 12.888578, 77.624533 12.88857, 77.624201 12.888547, 77.62396099999999 12.888524, 77.623668 12.888541, 77.62349500000001 12.888565, 77.62335 12.888587, 77.622806 12.888672, 77.622514 12.888711, 77.622011 12.888767, 77.621939 12.888561, 77.621397 12.88854, 77.621379 12.888597, 77.62132699999999 12.888619, 77.62127099999999 12.888635, 77.621116 12.888668, 77.62055100000001 12.88876, 77.620114 12.888818, 77.6199 12.888847, 77.62000399999999 12.889075, 77.620054 12.889203, 77.620124 12.889513, 77.620158 12.889701, 77.620171 12.889782, 77.62017899999999 12.890445, 77.62016 12.891283, 77.620152 12.891469, 77.619607 12.891553, 77.61963799999999 12.891693, 77.61972900000001 12.892237, 77.6198 12.892679, 77.619908 12.893271, 77.620082 12.894034, 77.62017899999999 12.894476, 77.62028100000001 12.894838, 77.62040399999999 12.895243, 77.620519 12.895574, 77.620664 12.895907, 77.62074699999999 12.896092, 77.62084900000001 12.896294, 77.620926 12.896399, 77.62105699999999 12.896546, 77.62112 12.896645, 77.621174 12.896798, 77.62132099999999 12.897342, 77.621415 12.897659, 77.621449 12.897784, 77.62162600000001 12.898275, 77.62175999999999 12.898563, 77.621869 12.89883, 77.62196400000001 12.899075, 77.622027 12.899344, 77.622096 12.899597, 77.62223400000001 12.899859, 77.622513 12.900269, 77.62268899999999 12.900469, 77.62300999999999 12.900879, 77.623164 12.901079, 77.62331500000001 12.901272, 77.623414 12.901406, 77.62356800000001 12.901657, 77.623738 12.902028, 77.62388799999999 12.902308, 77.624053 12.902606, 77.624201 12.902974, 77.62433900000001 12.903026, 77.62496899999999 12.903226, 77.62528399999999 12.903328, 77.625381 12.903332, 77.625439 12.903334, 77.625602 12.903339, 77.62566099999999 12.903341, 77.625823 12.903362, 77.62614499999999 12.903492, 77.626369 12.903594, 77.626576 12.903662, 77.626738 12.903675, 77.626892 12.903629, 77.62710199999999 12.903489, 77.62716500000001 12.903462, 77.62721500000001 12.903465, 77.62724799999999 12.903553, 77.62728199999999 12.903799, 77.627438 12.904319, 77.627515 12.904313, 77.628356 12.904095, 77.62881 12.903966, 77.629329 12.903858, 77.62985999999999 12.903837, 77.630668 12.903805, 77.630887 12.903837, 77.630689 12.904172, 77.630223 12.904931, 77.629403 12.906266, 77.62976999999999 12.90636, 77.630787 12.90653, 77.63103 12.906549, 77.631569 12.906617, 77.63253899999999 12.906653, 77.632977 12.906608, 77.633281 12.906724, 77.633555 12.906831, 77.634232 12.907068, 77.634885 12.907245, 77.63472 12.906543, 77.634812 12.906251, 77.634505 12.906258, 77.634422 12.905016, 77.63467900000001 12.904992, 77.634653 12.904246, 77.634646 12.903933, 77.634654 12.903503, 77.63462800000001 12.903154, 77.634698 12.90294, 77.63434100000001 12.901913, 77.63448 12.901906, 77.63478600000001 12.90189, 77.63478600000001 12.901535, 77.634985 12.901363, 77.63495899999999 12.900671, 77.634969 12.900063, 77.634524 12.900221, 77.633478 12.900733, 77.633225 12.900851, 77.63316399999999 12.900822, 77.63316399999999 12.900879))"
